(1, 'Isabella', 'Mazza', 'Largo Emanuele Filiberto di Savoia-Aosta 112', '123456'),
(2, 'Valentina', 'De Angelis', 'Via Umberto Cagni 68', '123456'),
(3, 'Eva', 'Mazza', 'Largo Umberto Biancamano 39', '123456'),
(4, 'Serena', 'Paris', 'Via Luigi Cadorna 97', '123456'),
(5, 'Chiara', 'Giordano', 'Via Franco Frattini 118', '123456'),
(6, 'Alberto', 'Barbieri', 'Via Giulio Andreotti 54', '123456'),
(7, 'Simone', 'De Luca', 'Piazza Enrico Mattei 33', '123456'),
(8, 'Elisa', 'Caruso', 'Piazza Aldo Finzi 48', '123456'),
(9, 'Caterina', 'Moretti', 'Viale Enrico Caviglia 15', '123456'),
(10, 'Emma', 'De Luca', 'Via Carlo Azeglio Ciampi 57', '123456'),
(11, 'Caterina', 'Catalano', 'Piazza Massimo D'Alema 64', '123456'),
(12, 'Ginevra', 'Romano', 'Largo Luigi Tosti 88', '123456'),
(13, 'Giulia', 'Esposito', 'Largo Orazio Giustiniani 27', '123456'),
(14, 'Gianluca', 'Villa', 'Via Giuseppe Saragat 78', '123456'),
(15, 'Salvatore', 'Galli', 'Piazza Pietro Badoglio 114', '123456'),
(16, 'Alessandro', 'De Santis', 'Via Luigi Sturzo 95', '123456'),
(17, 'Teresa', 'Grasso', 'Viale Emilio De Bono 33', '123456'),
(18, 'Emma', 'Bruno', 'Viale Luigi Cadorna 8', '123456'),
(19, 'Dario', 'De Angelis', 'Largo Enrico Tellini 66', '123456'),
(20, 'Mario', 'Giordano', 'Piazza Francesco Baracca 96', '123456'),
(21, 'Ludovica', 'Leone', 'Via Pietro Badoglio 51', '123456'),
(22, 'Mario', 'Martinelli', 'Viale Giuseppe Giardino 20', '123456'),
(23, 'Martina', 'De Angelis', 'Viale Emilio De Bono 62', '123456'),
(24, 'Riccardo', 'Serra', 'Piazza Luigi Sturzo 104', '123456'),
(25, 'Nicola', 'Coppola', 'Largo Franco Frattini 66', '123456'),
(26, 'Roberta', 'Santoro', 'Viale Bettino Craxi 30', '123456'),
(27, 'Angelo', 'Bruno', 'Largo Giovanni Pascoli 108', '123456'),
(28, 'Carla', 'Longo', 'Largo Giorgio Napolitano 49', '123456'),
(29, 'Andrea', 'Serra', 'Largo Luigi Facta 96', '123456'),
(30, 'Eleonora', 'Bianchi', 'Largo Aldo Moro 28', '123456'),
(31, 'Emma', 'Coppola', 'Piazza Bettino Craxi 89', '123456'),
(32, 'Salvatore', 'Esposito', 'Largo Luigi Volpicelli 72', '123456'),
